1	B1675	GJ8826	1	HaErBin	YanTai	4	2019/7/11 18:55	2019/7/11 21:00
1	B1675	GJ8826	2	YanTai	HangZhou	4	2019/7/11 21:45	2019/7/11 23:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	5	2019/7/12 8:45	2019/7/12 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	5	2019/7/12 12:10	2019/7/12 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	5	2019/7/12 15:10	2019/7/12 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	5	2019/7/12 18:55	2019/7/12 20:15
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	5	2019/7/12 21:40	2019/7/13 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	6	2019/7/13 8:45	2019/7/13 11:05
1	B1675	GJ8681	1	ShenZhen	WuLanHaoTe	6	2019/7/13 12:10	2019/7/13 16:15
1	B1675	GJ8681	2	WuLanHaoTe	HaErBin	6	2019/7/13 17:00	2019/7/13 18:05
1	B1675	GJ8826	1	HaErBin	YanTai	6	2019/7/13 18:55	2019/7/13 21:00
1	B1675	GJ8826	2	YanTai	HangZhou	6	2019/7/13 21:45	2019/7/13 23:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	7	2019/7/14 8:45	2019/7/14 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	7	2019/7/14 12:10	2019/7/14 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	7	2019/7/14 15:10	2019/7/14 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	7	2019/7/14 18:55	2019/7/14 20:15
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	7	2019/7/14 21:40	2019/7/15 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	1	2019/7/15 8:45	2019/7/15 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	1	2019/7/15 12:10	2019/7/15 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	1	2019/7/15 15:10	2019/7/15 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	1	2019/7/15 18:55	2019/7/15 20:15
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	1	2019/7/15 21:40	2019/7/16 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	2	2019/7/16 8:45	2019/7/16 11:05
1	B1675	GJ8681	1	ShenZhen	WuLanHaoTe	2	2019/7/16 12:10	2019/7/16 16:15
1	B1675	GJ8681	2	WuLanHaoTe	HaErBin	2	2019/7/16 17:00	2019/7/16 18:05
1	B1675	GJ8826	1	HaErBin	YanTai	2	2019/7/16 18:55	2019/7/16 21:00
1	B1675	GJ8826	2	YanTai	HangZhou	2	2019/7/16 21:45	2019/7/16 23:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	3	2019/7/17 8:45	2019/7/17 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	3	2019/7/17 12:10	2019/7/17 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	3	2019/7/17 15:10	2019/7/17 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	3	2019/7/17 19:00	2019/7/17 20:20
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	3	2019/7/17 21:40	2019/7/18 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	4	2019/7/18 8:45	2019/7/18 11:05
1	B1675	GJ8681	1	ShenZhen	WuLanHaoTe	4	2019/7/18 12:10	2019/7/18 16:15
1	B1675	GJ8681	2	WuLanHaoTe	HaErBin	4	2019/7/18 17:00	2019/7/18 18:05
1	B1675	GJ8826	1	HaErBin	YanTai	4	2019/7/18 18:55	2019/7/18 21:00
1	B1675	GJ8826	2	YanTai	HangZhou	4	2019/7/18 21:45	2019/7/18 23:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	5	2019/7/19 8:45	2019/7/19 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	5	2019/7/19 12:10	2019/7/19 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	5	2019/7/19 15:10	2019/7/19 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	5	2019/7/19 18:55	2019/7/19 20:15
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	5	2019/7/19 21:40	2019/7/20 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	6	2019/7/20 8:45	2019/7/20 11:05
1	B1675	GJ8681	1	ShenZhen	WuLanHaoTe	6	2019/7/20 12:10	2019/7/20 16:15
1	B1675	GJ8681	2	WuLanHaoTe	HaErBin	6	2019/7/20 17:00	2019/7/20 18:05
1	B1675	GJ8826	1	HaErBin	YanTai	6	2019/7/20 18:55	2019/7/20 21:00
1	B1675	GJ8826	2	YanTai	HangZhou	6	2019/7/20 21:45	2019/7/20 23:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	7	2019/7/21 8:45	2019/7/21 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	7	2019/7/21 12:10	2019/7/21 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	7	2019/7/21 15:10	2019/7/21 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	7	2019/7/21 18:55	2019/7/21 20:15
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	7	2019/7/21 21:40	2019/7/22 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	1	2019/7/22 8:45	2019/7/22 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	1	2019/7/22 12:10	2019/7/22 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	1	2019/7/22 15:10	2019/7/22 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	1	2019/7/22 18:55	2019/7/22 20:15
1	B1675	GJ8020	2	WuLanHaoTe	HangZhou	1	2019/7/22 21:40	2019/7/23 0:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	2	2019/7/23 8:45	2019/7/23 11:05
1	B1675	GJ8681	1	ShenZhen	WuLanHaoTe	2	2019/7/23 12:10	2019/7/23 16:15
1	B1675	GJ8681	2	WuLanHaoTe	HaErBin	2	2019/7/23 17:00	2019/7/23 18:05
1	B1675	GJ8826	1	HaErBin	YanTai	2	2019/7/23 18:55	2019/7/23 21:00
1	B1675	GJ8826	2	YanTai	HangZhou	2	2019/7/23 21:45	2019/7/23 23:45
1	B1675	GJ8737	1	HangZhou	ShenZhen	3	2019/7/24 8:45	2019/7/24 11:05
1	B1675	GJ8787	1	ShenZhen	XuZhou	3	2019/7/24 12:10	2019/7/24 14:25
1	B1675	GJ8787	2	XuZhou	HaErBin	3	2019/7/24 15:10	2019/7/24 17:40
1	B1675	GJ8020	1	HaErBin	WuLanHaoTe	3	2019/7/24 19:00	2019/7/24 20:20
